Checked,File ID,RT [min],First Scan,Mass Analyzer,Activation Type,MS Order,# PSMs,Best PSM Ambiguity,Isolation Interference [%],Ion Inject Time [ms],Precursor m/z [Da],Precursor MH+ [Da],Precursor Charge,Spectrum File
FALSE,F114,41.1665,6433,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,714.33148,2140.97989,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,41.171,6434,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,714.33148,2140.97989,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,41.1741,6435,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,714.33148,2140.97989,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,41.4055,6473,Fourier Transform,NCE 27±3 %,MS2,0,None,37.56899,150,714.66577,2141.98276,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,41.41,6474,Fourier Transform,NCE 27±6 %,MS2,0,None,37.56899,150,714.66577,2141.98276,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,41.413,6475,Fourier Transform,NCE 24±3 %,MS2,0,None,37.56899,150,714.66577,2141.98276,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,41.5058,6491,Fourier Transform,NCE 27±3 %,MS2,0,None,55.40228,150,493.51776,1971.04922,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,41.5103,6492,Fourier Transform,NCE 27±6 %,MS2,0,None,55.40228,150,493.51776,1971.04922,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,41.5134,6493,Fourier Transform,NCE 24±3 %,MS2,0,None,55.40228,150,493.51776,1971.04922,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,41.6069,6509,Fourier Transform,NCE 27±3 %,MS2,0,None,45.4421,150,479.25412,1435.74781,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,41.6113,6510,Fourier Transform,NCE 27±6 %,MS2,0,None,45.4421,150,479.25412,1435.74781,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,41.6144,6511,Fourier Transform,NCE 24±3 %,MS2,0,None,45.4421,150,479.25412,1435.74781,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,42.4954,6652,Fourier Transform,NCE 27±3 %,MS2,0,None,20.85298,150,643.55597,2571.20205,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,42.4999,6653,Fourier Transform,NCE 27±6 %,MS2,0,None,20.85298,150,643.55597,2571.20205,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,42.503,6654,Fourier Transform,NCE 24±3 %,MS2,0,None,20.85298,150,643.55597,2571.20205,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,43.5203,6816,Fourier Transform,NCE 27±3 %,MS2,0,None,13.63371,150,455.49365,1818.95278,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,43.5247,6817,Fourier Transform,NCE 27±6 %,MS2,0,None,13.63371,150,455.49365,1818.95278,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,43.5278,6818,Fourier Transform,NCE 24±3 %,MS2,0,None,13.63371,150,455.49365,1818.95278,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,43.7787,6859,Fourier Transform,NCE 27±3 %,MS2,0,None,76.68812,150,638.30261,2550.18862,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,43.7831,6860,Fourier Transform,NCE 27±6 %,MS2,0,None,76.68812,150,638.30261,2550.18862,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,43.7862,6861,Fourier Transform,NCE 24±3 %,MS2,0,None,76.68812,150,638.30261,2550.18862,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.2476,6935,Fourier Transform,NCE 27±3 %,MS2,0,None,7.945234,150,469.25174,1873.98513,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.252,6936,Fourier Transform,NCE 27±6 %,MS2,0,None,7.945234,150,469.25174,1873.98513,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.2551,6937,Fourier Transform,NCE 24±3 %,MS2,0,None,7.945234,150,469.25174,1873.98513,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.2791,6942,Fourier Transform,NCE 27±3 %,MS2,0,None,5.719281,150,468.99957,1872.97646,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.2835,6943,Fourier Transform,NCE 27±6 %,MS2,0,None,5.719281,150,468.99957,1872.97646,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.2866,6944,Fourier Transform,NCE 24±3 %,MS2,0,None,5.719281,150,468.99957,1872.97646,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.2911,6946,Fourier Transform,NCE 27±3 %,MS2,0,None,42.70514,150,625.33148,1873.97989,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.2955,6947,Fourier Transform,NCE 27±6 %,MS2,0,None,42.70514,150,625.33148,1873.97989,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.2986,6948,Fourier Transform,NCE 24±3 %,MS2,0,None,42.70514,150,625.33148,1873.97989,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.303,6950,Fourier Transform,NCE 27±3 %,MS2,0,None,5.88091,150,624.9967,1872.97556,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.3075,6951,Fourier Transform,NCE 27±6 %,MS2,0,None,5.88091,150,624.9967,1872.97556,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.3106,6952,Fourier Transform,NCE 24±3 %,MS2,0,None,5.88091,150,624.9967,1872.97556,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.7915,7029,Fourier Transform,NCE 27±3 %,MS2,0,None,1.983463,150,468.99942,1872.97585,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.7959,7030,Fourier Transform,NCE 27±6 %,MS2,0,None,1.983463,150,468.99942,1872.97585,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.799,7031,Fourier Transform,NCE 24±3 %,MS2,0,None,1.983463,150,468.99942,1872.97585,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.8162,7035,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,624.99652,1872.97501,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.8207,7036,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,624.99652,1872.97501,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,44.8237,7037,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,624.99652,1872.97501,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,45.3332,7119,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,468.99838,1872.9717,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,45.3376,7120,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,468.99838,1872.9717,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,45.3407,7121,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,468.99838,1872.9717,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,45.3953,7131,Fourier Transform,NCE 27±3 %,MS2,0,None,61.8581,150,596.6427,1787.91355,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,45.3997,7132,Fourier Transform,NCE 27±6 %,MS2,0,None,61.8581,150,596.6427,1787.91355,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,45.4028,7133,Fourier Transform,NCE 24±3 %,MS2,0,None,61.8581,150,596.6427,1787.91355,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,45.7571,7187,Fourier Transform,NCE 27±3 %,MS2,0,None,13.70392,150,675.31958,2023.94419,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,45.7615,7188,Fourier Transform,NCE 27±6 %,MS2,0,None,13.70392,150,675.31958,2023.94419,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,45.7646,7189,Fourier Transform,NCE 24±3 %,MS2,0,None,13.70392,150,675.31958,2023.94419,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,45.8484,7203,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,468.99905,1872.97439,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,45.8528,7204,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,468.99905,1872.97439,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,45.856,7205,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,468.99905,1872.97439,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,46.781,7352,Fourier Transform,NCE 27±3 %,MS2,0,None,25.70162,150,541.02502,2161.07827,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
